instancia,lucro_guloso,lucro_sa,tempo_guloso_ms,tempo_sa_ms
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_300\test.in,9900020410,9862515961,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_100\test.in,9187505561,9500005025,0,17
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_200\test.in,9812511432,9687510715,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_300\test.in,9187517432,9062516163,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_0_s_100\test.in,9687507568,9687505504,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_0_s_200\test.in,9687514619,9687511051,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_0_s_300\test.in,9687521596,9687515709,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_100\test.in,9690507143,9688304977,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_200\test.in,9690314622,9688110465,0,17
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_300\test.in,9690422413,9688516983,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_100\test.in,9716511613,9693509553,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_200\test.in,9714524491,9695520652,0,21
