instance_name,greedy_profit,sa_profit
n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_200,5010020265,5010020158
n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_300,5010030307,5010030066
n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_100,5100010075,5100010020
n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_200,5100020241,5100020056
n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_300,5100031647,5100031590
n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_100,6000010227,6000010159
n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_200,6000019894,6000019734
n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_300,6000030646,6000030407
n_1000_c_10000000000_g_2_f_0.2_eps_0_s_100,5000010269,5000010246
n_1000_c_10000000000_g_2_f_0.2_eps_0_s_200,5000020598,5000020549
n_1000_c_10000000000_g_2_f_0.2_eps_0_s_300,5000031536,5000031366
n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_100,5000110222,5000110212
n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_200,5000119899,5000119727
n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_300,5000130096,5000129828
n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_100,5001016164,5001016093
n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_200,5001030403,5001030326
n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_300,5001044115,5001044080
n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_100,5010014762,5010014713
n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_200,5010031030,5010031001
n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_300,5010044845,5010044701
n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_100,5100015007,5100015002
n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_200,5100031449,5100031337
n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_300,5100047422,5100047340
n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_100,6000016394,6000016365
n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_200,6000030829,6000030692
n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_300,6000043420,6000043421
n_1000_c_10000000000_g_2_f_0.3_eps_0_s_100,5000015070,5000015008
n_1000_c_10000000000_g_2_f_0.3_eps_0_s_200,5000029332,5000029324
n_1000_c_10000000000_g_2_f_0.3_eps_0_s_300,5000044153,5000043967
n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_100,5000116036,5000116000
n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_200,5000130084,5000130055
n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_300,5000144493,5000144419
n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_100,9718508112,9698506085
n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_200,9716515186,9697511395
n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_300,9717522945,9693516499
n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_100,9987507900,9747505689
n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_200,9967515262,9737511346
n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_300,9967522507,9757516478
n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_100,9700006562,9962505181
n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_200,9700012676,9862509611
n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_300,9900020410,9975015264
n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_100,9187505559,8687505066
n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_200,9812511432,9937510599
n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_300,9187517432,9437516571
n_1000_c_10000000000_g_6_f_0.1_eps_0_s_100,9687507568,9687505556
n_1000_c_10000000000_g_6_f_0.1_eps_0_s_200,9687514619,9687511031
n_1000_c_10000000000_g_6_f_0.1_eps_0_s_300,9687521596,9687516295
n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_100,9690507143,9688405086
n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_200,9690314622,9688611054
n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_300,9690422413,9688617281
n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_100,9716511613,9692509550
n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_200,9714524491,9695520862
n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_300,9716535792,9697530064
n_1000_c_10000000000_g_6_f_0.2_eps_0.001_s_100,9977512228,9737509972
n_1000_c_10000000000_g_6_f_0.2_eps_0.001_s_200,9977522595,9747518707
n_1000_c_10000000000_g_6_f_0.2_eps_0.001_s_300,9967535713,9767530259
n_1000_c_10000000000_g_6_f_0.2_eps_0.01_s_100,9600012375,9662510914
n_1000_c_10000000000_g_6_f_0.2_eps_0.01_s_200,9900023689,9650020618
n_1000_c_10000000000_g_6_f_0.2_eps_0.01_s_300,9912536763,9975032635
n_1000_c_10000000000_g_6_f_0.2_eps_0.1_s_100,9187510866,9062510482
n_1000_c_10000000000_g_6_f_0.2_eps_0.1_s_200,9500020843,9625020042
n_1000_c_10000000000_g_6_f_0.2_eps_0.1_s_300,9500032426,9062531489
n_1000_c_10000000000_g_6_f_0.2_eps_0_s_100,9687512484,9687510576
n_1000_c_10000000000_g_6_f_0.2_eps_0_s_200,9687526309,9687522118
n_1000_c_10000000000_g_6_f_0.2_eps_0_s_300,9687536606,9687531174
n_1000_c_10000000000_g_6_f_0.2_eps_1e-05_s_100,9690412604,9688310521
n_1000_c_10000000000_g_6_f_0.2_eps_1e-05_s_200,9690424624,9688120364
n_1000_c_10000000000_g_6_f_0.2_eps_1e-05_s_300,9690434949,9688128853
n_1000_c_10000000000_g_6_f_0.3_eps_0.0001_s_100,9716517021,9694514933
n_1000_c_10000000000_g_6_f_0.3_eps_0.0001_s_200,9715536012,9695532223
n_1000_c_10000000000_g_6_f_0.3_eps_0.0001_s_300,9716554352,9695548959
n_1000_c_10000000000_g_6_f_0.3_eps_0.001_s_100,9927516322,9737514644
n_1000_c_10000000000_g_6_f_0.3_eps_0.001_s_200,9937533671,9787530391
n_1000_c_10000000000_g_6_f_0.3_eps_0.001_s_300,9957552376,9737546904
n_1000_c_10000000000_g_6_f_0.3_eps_0.01_s_100,9900016581,9962515039
n_1000_c_10000000000_g_6_f_0.3_eps_0.01_s_200,9700035122,9762532639
n_1000_c_10000000000_g_6_f_0.3_eps_0.01_s_300,9800053821,9775048818
n_1000_c_10000000000_g_6_f_0.3_eps_0.1_s_100,9500015254,9250014899
n_1000_c_10000000000_g_6_f_0.3_eps_0.1_s_200,9187530922,9500029915
n_1000_c_10000000000_g_6_f_0.3_eps_0.1_s_300,9187546534,9312545274
n_1000_c_10000000000_g_6_f_0.3_eps_0_s_100,9687517563,9687515461
n_1000_c_10000000000_g_6_f_0.3_eps_0_s_200,9687535653,9687532092
n_1000_c_10000000000_g_6_f_0.3_eps_0_s_300,9687548800,9687543195
n_1000_c_10000000000_g_6_f_0.3_eps_1e-05_s_100,9690317533,9688015707
n_1000_c_10000000000_g_6_f_0.3_eps_1e-05_s_200,9690335081,9688031040
n_1000_c_10000000000_g_6_f_0.3_eps_1e-05_s_300,9690551257,9688545828
n_1000_c_100000000_g_10_f_0.1_eps_0.0001_s_100,99918979,99900247
n_1000_c_100000000_g_10_f_0.1_eps_0.0001_s_200,99929692,99952949
n_1000_c_100000000_g_10_f_0.1_eps_0.0001_s_300,99984996,99981867
n_1000_c_100000000_g_10_f_0.1_eps_0.001_s_100,99752711,99738484
