instancia,lucro_guloso,lucro_sa,tempo_guloso_ms,tempo_sa_ms,tempo_total_ms
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_1e-05_s_100\test.in,1012451,1012451,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_1e-05_s_200\test.in,1026296,1026296,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.3_eps_1e-05_s_300\test.in,1039666,1039666,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_0.0001_s_100\test.in,505233,505233,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_0.0001_s_200\test.in,510614,510614,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_0.0001_s_300\test.in,514881,514881,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_0.001_s_100\test.in,505891,505891,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_0.001_s_200\test.in,510720,510720,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_0.001_s_300\test.in,515158,515158,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_0.01_s_100\test.in,515034,515034,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_0.01_s_200\test.in,521453,521453,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_0.01_s_300\test.in,525390,525390,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_0.1_s_100\test.in,605344,605344,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_0.1_s_200\test.in,610137,610137,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_0.1_s_300\test.in,615322,615322,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_0_s_100\test.in,504947,504947,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_0_s_200\test.in,509526,509526,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_0_s_300\test.in,515225,515225,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_1e-05_s_100\test.in,505263,505263,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_1e-05_s_200\test.in,509892,509892,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.1_eps_1e-05_s_300\test.in,515280,515280,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_0.0001_s_100\test.in,510425,510425,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_0.0001_s_200\test.in,520334,520334,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_0.0001_s_300\test.in,530310,530310,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_0.001_s_100\test.in,511418,511418,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_0.001_s_200\test.in,520044,520044,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_0.001_s_300\test.in,530699,530699,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_0.01_s_100\test.in,520446,520446,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_0.01_s_200\test.in,530118,530118,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_0.01_s_300\test.in,539097,539097,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_0.1_s_100\test.in,610668,610668,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_0.1_s_200\test.in,620010,620010,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_0.1_s_300\test.in,631000,631000,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_0_s_100\test.in,510264,510264,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_2_f_0.2_eps_0_s_200\test.in,520017,520017,0,0,0
